time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-01 00:00:00+00:00,1,1,0,0
2026-05-02 00:00:00+00:00,0,0,0,0
2026-05-03 00:00:00+00:00,0,0,0,0
2026-05-04 00:00:00+00:00,0,0,1,1
2026-05-05 00:00:00+00:00,2,2,0,0
2026-05-06 00:00:00+00:00,0,0,6,1
2026-05-07 00:00:00+00:00,0,0,0,0
2026-05-08 00:00:00+00:00,0,0,0,0
2026-05-09 00:00:00+00:00,0,0,0,0
2026-05-10 00:00:00+00:00,0,0,0,0
2026-05-11 00:00:00+00:00,0,0,0,0
2026-05-12 00:00:00+00:00,0,0,0,0
2026-05-13 00:00:00+00:00,1,1,2,1
2026-05-14 00:00:00+00:00,0,0,2,1
2026-05-15 00:00:00+00:00,23,16,74,2
2026-05-16 00:00:00+00:00,10,6,0,0
2026-05-17 00:00:00+00:00,30,9,0,0
2026-05-18 00:00:00+00:00,9,4,18,1
2026-05-19 00:00:00+00:00,9,4,6,3
2026-05-20 00:00:00+00:00,9,4,0,0
2026-05-21 00:00:00+00:00,16,7,0,0
2026-05-22 00:00:00+00:00,9,4,1,1
2026-05-23 00:00:00+00:00,2,2,0,0
2026-05-24 00:00:00+00:00,8,3,0,0
2026-05-25 00:00:00+00:00,14,5,0,0
2026-05-26 00:00:00+00:00,7,2,6,1
2026-05-27 00:00:00+00:00,10,5,0,0
2026-05-28 00:00:00+00:00,5,3,6,2
2026-05-29 00:00:00+00:00,13,4,9,2
2026-05-30 00:00:00+00:00,13,5,0,0
2026-05-31 00:00:00+00:00,23,11,0,0
2026-06-01 00:00:00+00:00,17,5,7,1
2026-06-02 00:00:00+00:00,19,7,12,1
2026-06-03 00:00:00+00:00,19,7,0,0
2026-06-04 00:00:00+00:00,2,2,0,0
2026-06-05 00:00:00+00:00,5,4,1,1
2026-06-06 00:00:00+00:00,15,7,0,0
2026-06-07 00:00:00+00:00,25,9,9,1
2026-06-08 00:00:00+00:00,18,6,0,0
2026-06-09 00:00:00+00:00,14,6,5,1
2026-06-10 00:00:00+00:00,11,4,0,0
2026-06-11 00:00:00+00:00,13,5,0,0
2026-06-12 00:00:00+00:00,31,10,0,0
2026-06-13 00:00:00+00:00,8,3,0,0
2026-06-14 00:00:00+00:00,34,8,0,0
2026-06-15 00:00:00+00:00,26,10,0,0
2026-06-16 00:00:00+00:00,25,8,1,1
2026-06-17 00:00:00+00:00,19,6,0,0
2026-06-18 00:00:00+00:00,7,2,0,0
2026-06-19 00:00:00+00:00,14,4,1,1
2026-06-20 00:00:00+00:00,22,7,5,1
2026-06-21 00:00:00+00:00,14,5,0,0
2026-06-22 00:00:00+00:00,15,6,0,0
2026-06-23 00:00:00+00:00,30,12,6,2
